id,subdir,filename,expected_doc_class,expected_stage,size_tier,source,license,notes,dataset
atticus_01,contract,atticus_01_ip_agreement.pdf,contract,archived,small,CUAD full_contract_pdf/Part_II-A/IP (Ingevity Corp EX-10.5 Intellectual Property Agreement),CC-BY-4.0,Real SEC-exhibit IP agreement; 20 pages,atticus
atticus_02,contract,atticus_02_license_agreement.pdf,contract,archived,small,CUAD full_contract_pdf/Part_I/License_Agreements (Artara Therapeutics EX-10.5),CC-BY-4.0,Real SEC-exhibit license agreement; 15 pages,atticus
atticus_03,contract,atticus_03_supply_agreement.pdf,contract,archived,small,CUAD full_contract_pdf/Part_I/Supply (Loha Company Ltd EX-10.16),CC-BY-4.0,Real SEC-exhibit supply agreement; 6 pages,atticus
atticus_04,contract,atticus_04_franchise_agreement.pdf,contract,archived,medium,CUAD full_contract_pdf/Part_II-A/Franchise (Buffalo Wild Wings EX-10.3),CC-BY-4.0,Real SEC-exhibit franchise agreement; 29 pages,atticus
atticus_05,contract,atticus_05_distributor_agreement.pdf,contract,archived,small,CUAD full_contract_pdf/Part_II-A/Distributor (Netgear EX-10.16),CC-BY-4.0,Real SEC-exhibit distributor agreement; 8 pages,atticus
atticus_06,contract,atticus_06_joint_venture_agreement.pdf,contract,archived,small,CUAD full_contract_pdf/Part_I/Joint Venture (Accelerated Technologies EX-10.13),CC-BY-4.0,Real SEC-exhibit joint venture agreement; 3 pages,atticus
pileoflaw_01,court_opinion,pileoflaw_01_court_opinion.pdf,court_opinion,archived,small,external/pileoflaw/pileoflaw_01_court_opinion.txt,public-domain (US government work),NY appellate robbery conviction appeal; CourtListener opinion ~5.5K chars,pileoflaw
pileoflaw_02,court_opinion,pileoflaw_02_court_opinion.pdf,court_opinion,archived,small,external/pileoflaw/pileoflaw_02_court_opinion.txt,public-domain (US government work),Delaware Court of Chancery opinion ~21K chars,pileoflaw
pileoflaw_03,court_opinion,pileoflaw_03_court_opinion.pdf,court_opinion,archived,small,external/pileoflaw/pileoflaw_03_court_opinion.txt,public-domain (US government work),U.S. Court of Federal Claims special master ruling ~16K chars,pileoflaw
pileoflaw_04,court_opinion,pileoflaw_04_court_opinion.pdf,court_opinion,archived,small,external/pileoflaw/pileoflaw_04_court_opinion.txt,public-domain (US government work),NY negligence action appeal ~5K chars,pileoflaw
pileoflaw_05,court_opinion,pileoflaw_05_court_opinion.pdf,court_opinion,archived,small,external/pileoflaw/pileoflaw_05_court_opinion.txt,public-domain (US government work),NY breach of settlement stipulation appeal ~9.4K chars,pileoflaw
pileoflaw_06,court_opinion,pileoflaw_06_court_opinion.pdf,court_opinion,archived,small,external/pileoflaw/pileoflaw_06_court_opinion.txt,public-domain (US government work),NY divorce appeal ~7.4K chars,pileoflaw
